order_id,customer_id,vendor_id,order_date,product_category,order_amount,payment_method,delivery_status,customer_rating,region
ORD_00001,CUST_815,VEND_105,01-28-2023,Electronics,795.39,Debit Card,Delivered,4,Africa
ORD_00002,CUST_879,VEND_150,10-24-2025,Home Decor,883.65,Debit Card,Cancelled,4.3,South America
ORD_00003,CUST_137,VEND_289,02-09-2024,ClothInG,215.89,Debit Card,Cancelled,3.4,North America
ORD_00004,CUST_96,VEND_277,16-12-2024,Electronics,889.67,Cash,reTuRNED,2.3,North America
ORD_00005,CUST_917,VEND_352,13-04-2023,Sports,507.27,Debit Card,Delivered,1.3,Asia
ORD_00006,CUST_612,VEND_93,24-06-2023,Electronics,873.01,Cash,Delivered,3.7,Europe
ORD_00007,CUST_402,VEND_490,02-03-2025,Beauty,183.35,UPI,Returned,2.5,Africa
ORD_00008,CUST_951,VEND_92,06-12-2025,Sports,180.33,Debit Card,Delivered,4,North America
ORD_00009,CUST_683,VEND_449,03-05-2025,Clothing,473.58,Debit Card,Delivered,3.1,Asia
ORD_00010,CUST_214,VEND_435,05-10-2024,Books,838.76,PayPal,Cancelled,3.7,Asia
ORD_00011,CUST_441,VEND_316,12-27-2023,Electronics,461.63,PayPal,Delivered,4.4,Europe
ORD_00012,CUST_775,VEND_71,16-08-2025,Sports,260.91,UPI,Cancelled,2,South America
ORD_00013,CUST_232,VEND_24,24-03-2023,Home Decor,946.41,Cash,Cancelled,5,North America
ORD_00014,CUST_27,VEND_154,11-08-2024,Clothing,976.26,cREdiT CaRd,Returned,3.1,Africa
ORD_00015,CUST_61,VEND_448,10-12-2024,home DECor,718.04,PayPal,Delivered,4.2,Asia
ORD_00016,CUST_201,VEND_311,03-01-2025,Home Decor,505.93,Credit Card,Cancelled,1.6,North America
ORD_00017,CUST_484,VEND_48,02-04-2024,Clothing,29.38,PayPal,Delivered,4.9,eURoPe
ORD_00018,CUST_975,VEND_231,04-06-2024,Clothing,668.55,Debit Card,Cancelled,2.8,Asia
ORD_00019,CUST_133,VEND_15,03-03-2025,Clothing,,Cash,Returned,2,North America
ORD_00020,CUST_424,VEND_137,23-03-2023,Groceries,561.41,Cash,Returned,4.5,Asia
ORD_00021,CUST_236,VEND_460,01-02-2025,Electronics,57.58,Credit Card,Delivered,4,North America
ORD_00022,CUST_331,VEND_120,07-09-2023,Groeries,900.48,PayPal,Delivered,1.4,Asia
ORD_00023,CUST_793,VEND_346,03-11-2023,Books,,Credt Card,Delivered,1,North America
ORD_00024,CUST_579,VEND_14,20-02-2023,Books,944.1,Cash,Cancelled,1.4,Europe
ORD_00025,CUST_380,VEND_146,01-01-2024,Groceries,911.21,Debit Card,Delivered,4.7,North America
ORD_00026,CUST_725,VEND_230,28-10-2025,Groceries,967.18,Cash,Delivered,1.2,Africa
ORD_00027,CUST_634,VEND_402,01-25-2024,Books,156.06,Debit Card,Returned,3.8,Asia
ORD_00028,CUST_602,VEND_466,03-16-2023,Books,228.78,Cash,Returned,1.6,Europe
ORD_00029,CUST_316,VEND_121,01-10-2023,Electronics,457.72,UPI,rEtuRnEd,1.6,Asia
ORD_00030,CUST_881,VEND_451,09-07-2023,Clothing,,Debit Card,Cancelled,4.9,Europe
ORD_00031,CUST_794,VEND_460,07-09-2023,SPORtS,262.15,UPI,Cancelled,4.5,afRIcA
ORD_00032,CUST_220,VEND_444,06-15-2025,hOme dECoR,474.92,Debit Card,Delivered,1.9,Africa
ORD_00033,CUST_311,VEND_219,08-15-2023,Books,558.53,PayPal,Cancelled,bad,North America
ORD_00034,CUST_867,VEND_211,05-09-2024,Sports,177.02,PayPal,Delivered,4.6,South America
ORD_00035,CUST_331,VEND_95,26-09-2025,Clothing,557.26,CASh,Returned,3.2,Asia
ORD_00036,CUST_833,VEND_1,21-02-2025,Clothing,500.13,UPI,Returned,3.1,Africa
ORD_00037,CUST_25,VEND_414,10-04-2024,Books,995.6,PayPal,Delivered,4.5,Africa
ORD_00038,CUST_99,VEND_20,20-01-2025,Clothing,628.77,Debit Card,Cancelled,2.9,sia
ORD_00039,CUST_62,VEND_129,24-05-2024,Clothing,803.46,PayPal,Cancelled,2.1,Asia
ORD_00040,CUST_593,VEND_217,23-02-2023,Beauty,249.18,dEbIt CaRd,dELiVEReD,4.9,South America
ORD_00041,CUST_448,VEND_229,17-07-2024,Clothing,562.54,Credit Card,Cancelled,4.9,Europe
ORD_00042,CUST_629,VEND_478,10-27-2023,Sports,392.28,Credit Card,Returned,2.8,North America
ORD_00043,CUST_388,VEND_57,06-05-2025,Electronics,,Cash,Returned,2.3,Asia
ORD_00044,CUST_77,VEND_454,04-03-2024,Books,833.12,Credit CaRd,Cancelled,,North America
